Home,Win,Minutes,FieldGoals,FieldGoalsAttempts,FieldGoals%,3P,3PA,3P%,FreeThrows,FreeThrowAttempts,FreeThrows%,ORebounds,DRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points,GameScore
0,0,38.19,8,12,.667,2,2,1.000,6,6,1.000,1,7,8,9,0,2,7,2,24,21.5
1,1,38.00,10,14,.714,1,3,.333,5,5,1.000,1,17,18,15,1,1,5,2,26,32.4
1,1,32.42,9,13,.692,0,0,,4,5,.800,2,12,14,16,1,1,3,0,22,31.0
1,1,34.20,5,8,.625,0,1,.000,4,5,.800,3,15,18,10,1,2,5,3,14,19.8
1,1,27.45,8,10,.800,0,1,.000,4,5,.800,1,11,12,16,1,1,1,1,20,31.3
0,0,37.39,10,19,.526,3,5,.600,6,9,.667,2,10,12,6,1,2,7,3,29,21.3
0,1,34.03,11,22,.500,0,0,,8,9,.889,7,9,16,10,0,2,4,1,30,30.2
0,1,33.54,12,14,.857,0,0,,3,3,1.000,0,12,12,8,0,0,0,3,27,30.0
1,1,34.08,6,9,.667,0,0,,2,3,.667,1,12,13,10,1,1,5,2,14,16.9
0,1,35.51,8,13,.615,2,2,1.000,6,6,1.000,7,11,18,13,2,0,7,3,24,29.2
0,0,26.41,7,11,.636,0,0,,1,1,1.000,3,10,13,3,0,0,3,1,15,13.9
1,1,41.33,14,21,.667,0,1,.000,12,15,.800,8,9,17,10,3,0,1,2,40,46.2
0,1,27.45,7,11,.636,0,0,,0,1,.000,5,6,11,10,0,0,4,2,14,16.2
1,1,35.18,7,10,.700,0,0,,4,6,.667,3,15,18,10,0,1,2,5,18,23.3
1,1,36.13,5,8,.625,1,1,1.000,6,6,1.000,3,10,13,9,0,1,4,1,17,21.1
1,0,35.02,7,16,.438,3,9,.333,1,4,.250,1,11,12,8,0,0,5,1,18,12.6
0,0,38.30,14,24,.583,4,6,.667,5,6,.833,3,8,11,11,3,0,5,2,37,34.8
1,0,39.00,14,23,.609,0,1,.000,7,10,.700,6,14,20,11,2,2,3,2,35,39.0
0,0,34.52,10,13,.769,0,1,.000,8,8,1.000,2,6,8,7,1,0,4,3,28,26.8
0,1,33.29,14,18,.778,0,1,.000,2,3,.667,4,6,10,9,1,1,1,2,30,33.4
0,0,36.51,11,18,.611,1,5,.200,1,1,1.000,2,8,10,8,0,1,6,2,24,19.1
0,1,36.27,9,12,.750,0,0,,4,4,1.000,4,13,17,10,2,0,1,5,22,29.9
0,1,33.36,12,16,.750,2,3,.667,5,5,1.000,5,7,12,7,3,0,2,1,31,35.7
1,1,31.53,10,20,.500,1,6,.167,10,11,.909,1,5,6,11,1,0,3,2,31,27.7
1,1,34.58,8,11,.727,0,0,,9,11,.818,3,14,17,12,0,2,3,3,25,31.6
0,0,24.41,7,13,.538,0,2,.000,0,1,.000,2,8,10,4,2,3,8,1,14,9.6
0,0,26.38,2,5,.400,0,1,.000,2,2,1.000,0,10,10,10,2,0,4,2,6,10.5
