Home,Win,Minutes,FieldGoals,FieldGoalsAttempts,FieldGoals%,3P,3PA,3P%,FreeThrows,FreeThrowAttempts,FreeThrows%,ORebounds,DRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points,GameScore
1,1,31,9,18,0.5,3,5,0.6,1,1,1,2,5,7,3,4,0,4,2,22,17.2
1,1,31,9,21,0.429,0,3,0,2,3,0.667,1,3,4,6,2,0,1,3,20,14.1
1,1,31,10,16,0.625,3,4,0.75,1,2,0.5,1,2,3,4,2,0,0,1,24,22.1
1,1,31,13,19,0.684,5,8,0.625,3,4,0.75,1,4,5,1,3,0,2,1,34,28.7
1,1,31,14,23,0.609,1,3,0.333,4,4,1,1,4,5,6,3,1,1,2,33,30.5
0,0,31,9,24,0.375,0,0,,0,0,,1,3,4,5,1,0,0,2,18,10.1
0,1,31,8,19,0.421,0,1,0,0,0,,0,6,6,9,0,0,0,2,16,13.2
0,1,31,5,11,0.455,0,1,0,2,2,1,2,6,8,6,0,2,0,3,12,13.9
1,0,31,13,22,0.591,0,0,,1,2,0.5,1,5,6,4,1,1,4,1,27,18.7
0,0,31,5,19,0.263,0,0,,2,2,1,2,5,7,2,0,0,1,0,12,4
0,1,30,9,13,0.692,0,0,,5,6,0.833,0,4,4,3,4,1,4,4,23,19.5
0,0,30,9,17,0.529,1,1,1,3,4,0.75,1,2,3,2,2,0,2,5,22,14
0,0,30,6,17,0.353,0,2,0,9,10,0.9,0,1,1,2,2,1,1,5,21,12.5
1,1,30,8,14,0.571,0,0,,7,7,1,2,4,6,5,2,0,5,3,23,18.3
1,0,30,6,13,0.462,0,2,0,4,5,0.8,4,2,6,8,0,0,3,5,16,12.9
0,0,30,7,12,0.583,0,0,,4,5,0.8,1,4,5,3,3,0,4,3,18,13.8
1,1,30,7,15,0.467,3,4,0.75,4,4,1,3,11,14,14,3,2,1,0,21,31.9
0,0,30,5,13,0.385,0,1,0,6,6,1,1,3,4,6,2,0,4,2,16,11.9
1,1,30,7,14,0.5,0,2,0,2,3,0.667,2,5,7,9,1,1,4,2,16,14.7
0,1,30,13,18,0.722,1,1,1,5,6,0.833,0,2,2,4,2,0,1,2,32,27.8
1,1,30,8,15,0.533,0,0,,4,6,0.667,2,6,8,8,1,2,3,3,20,18.9
0,1,30,10,13,0.769,1,1,1,4,4,1,2,7,9,9,1,1,6,4,25,23.8
1,1,30,9,14,0.643,2,2,1,2,3,0.667,0,5,5,11,0,1,3,3,22,21.1
0,1,30,16,26,0.615,0,0,,10,11,0.909,1,0,1,4,0,2,3,4,42,30.1
1,1,30,6,15,0.4,0,2,0,6,6,1,2,1,3,1,2,0,2,2,18,11.5
1,1,30,11,18,0.611,0,3,0,4,6,0.667,1,4,5,4,3,1,2,2,26,22.6
0,1,30,8,18,0.444,0,0,,8,8,1,1,4,5,4,1,2,0,0,24,21.7
1,1,30,9,14,0.643,0,0,,2,2,1,1,1,2,5,0,2,2,0,20,17.7
1,1,30,10,22,0.455,0,1,0,9,10,0.9,4,4,8,3,4,1,2,1,29,25.6
1,1,30,5,12,0.417,0,1,0,3,6,0.5,0,5,5,7,1,1,0,3,13,12.3
1,1,30,11,20,0.55,3,7,0.429,2,2,1,1,1,2,5,4,0,2,2,27,23.1
1,1,30,13,27,0.481,3,7,0.429,8,9,0.889,1,3,4,3,0,0,1,1,37,25.2
1,1,30,13,25,0.52,3,4,0.75,1,2,0.5,3,5,8,2,3,2,2,1,30,24.3
0,0,30,4,13,0.308,1,2,0.5,0,1,0,0,5,5,6,3,0,6,2,9,3
1,1,30,9,14,0.643,0,0,,7,12,0.583,0,3,3,3,2,0,2,4,25,18.2
0,0,30,4,15,0.267,0,0,,0,0,,0,2,2,1,0,0,1,2,8,-1.4
0,0,30,6,15,0.4,0,1,0,2,2,1,0,4,4,1,1,0,1,2,14,7
1,1,30,9,20,0.45,0,0,,7,8,0.875,0,7,7,4,0,0,1,1,25,17.7
0,1,30,4,11,0.364,0,2,0,2,2,1,1,4,5,5,2,0,3,1,10,7.9
1,0,30,8,16,0.5,0,0,,1,2,0.5,2,6,8,6,1,1,2,3,17,14.5
0,0,29,11,23,0.478,0,2,0,7,7,1,0,3,3,4,4,0,2,4,29,21.4
1,1,29,7,15,0.467,1,5,0.2,5,5,1,2,3,5,10,1,0,1,2,20,20.8
1,1,29,11,19,0.579,2,3,0.667,7,7,1,0,6,6,2,0,1,3,2,31,22.2
1,1,29,8,14,0.571,0,1,0,4,5,0.8,0,3,3,4,3,0,0,4,20,18.1
1,1,29,7,10,0.7,1,2,0.5,5,7,0.714,1,6,7,2,1,0,1,2,20,18.1
1,1,29,10,16,0.625,2,4,0.5,1,1,1,2,1,3,0,4,1,2,2,23,19.4
0,1,29,15,25,0.6,4,5,0.8,4,4,1,0,1,1,2,1,1,1,2,38,28.1
1,1,29,5,11,0.455,0,1,0,0,0,,1,3,4,3,1,2,3,1,10,7
1,1,29,7,14,0.5,0,1,0,3,4,0.75,2,5,7,6,0,1,2,3,17,14.2
0,0,29,5,14,0.357,0,0,,0,0,,0,2,2,1,1,0,1,2,10,2.7
1,0,29,6,10,0.6,0,0,,2,2,1,2,3,5,1,1,1,1,0,14,13.1
0,0,29,3,12,0.25,0,0,,5,5,1,1,1,2,3,0,0,2,0,11,4.9
1,1,28,7,13,0.538,1,2,0.5,11,14,0.786,2,6,8,7,0,1,1,3,26,25.1
0,1,28,12,19,0.632,0,0,,2,4,0.5,1,4,5,3,3,2,3,1,26,21.7
1,1,28,11,17,0.647,0,0,,8,9,0.889,0,3,3,8,3,2,2,1,30,30.6
1,1,28,14,24,0.583,0,1,0,0,0,,4,8,12,5,6,0,2,0,28,29.5
1,1,28,10,14,0.714,3,3,1,3,4,0.75,0,3,3,2,6,0,3,2,26,24.3
1,1,28,11,17,0.647,1,1,1,11,11,1,1,2,3,4,6,0,0,2,34,35.8
1,1,28,12,20,0.6,0,1,0,3,3,1,0,6,6,2,2,1,2,2,27,20.9
0,1,28,10,16,0.625,2,2,1,2,3,0.667,0,5,5,4,3,0,3,0,24,20.7
0,1,28,5,9,0.556,1,2,0.5,5,6,0.833,0,4,4,5,0,0,1,2,16,14.2
1,0,28,4,14,0.286,0,0,,2,2,1,1,2,3,5,1,1,2,1,10,5.9
0,0,28,9,16,0.563,1,2,0.5,0,0,,0,2,2,3,1,0,5,1,19,9.7
0,0,28,6,15,0.4,0,0,,3,4,0.75,0,4,4,4,0,0,2,0,15,8.5
0,1,27,9,19,0.474,0,0,,7,9,0.778,1,3,4,3,3,1,5,5,25,14.9
1,0,27,7,16,0.438,0,0,,0,0,,1,1,2,2,1,0,1,2,14,7.2
0,0,27,11,20,0.55,0,0,,5,6,0.833,0,0,0,1,1,0,1,4,27,16.1
1,1,27,14,18,0.778,0,0,,4,5,0.8,0,1,1,4,10,2,3,1,32,35.7
1,1,27,9,13,0.692,0,0,,3,4,0.75,0,6,6,4,4,2,2,2,21,22.3
0,0,27,8,14,0.571,0,1,0,6,6,1,0,3,3,3,2,1,5,2,22,15.3
0,1,27,13,20,0.65,0,0,,7,8,0.875,1,3,4,3,7,1,1,0,33,34.2
1,1,27,11,15,0.733,0,0,,2,3,0.667,0,2,2,7,3,1,1,2,24,24.9
1,1,27,11,17,0.647,0,0,,2,2,1,5,4,9,6,5,3,2,1,24,30.1
1,1,27,10,17,0.588,1,3,0.333,5,6,0.833,2,2,4,1,2,0,0,0,26,22.4
0,1,27,7,15,0.467,1,4,0.25,0,0,,2,8,10,4,3,0,3,3,15,12.7
1,1,27,12,22,0.545,3,6,0.5,1,1,1,1,2,3,4,8,0,1,1,28,28.1
1,1,27,8,18,0.444,0,0,,1,1,1,4,4,8,7,1,2,0,2,17,18.1
1,1,27,8,11,0.727,0,0,,5,9,0.556,0,8,8,2,2,0,2,1,21,18.3
