Home,Win,Minutes,FieldGoals,FieldGoalsAttempts,FieldGoals%,3P,3PA,3P%,FreeThrows,FreeThrowAttempts,FreeThrows%,ORebounds,DRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points,GameScore
0,0,31.80,3,11,0.273,0,0,,3,4,0.75,0,1,1,5,0,3,3,4,9,3.4
1,0,26.78,6,12,0.5,0,0,,3,6,0.5,6,3,9,1,0,0,4,3,15,8.4
1,1,36.25,8,12,0.667,0,0,,3,8,0.375,7,10,17,1,0,2,4,3,19,16.6
0,1,33.13,7,13,0.538,0,0,,4,9,0.444,1,9,10,1,1,3,0,3,18,15.7
1,0,28.67,6,8,0.75,0,0,,0,0,,4,5,9,0,1,1,1,3,12,12.6
1,0,26.25,4,6,0.667,0,0,,1,3,0.333,1,4,5,1,1,2,2,3,9,7.4
0,0,25.82,1,6,0.167,0,0,,2,2,1,1,4,5,2,1,1,0,2,4,4.4
1,1,23.03,5,7,0.714,0,0,,5,6,0.833,2,8,10,1,0,0,0,5,15,14.2
1,1,34.05,14,19,0.737,0,0,,7,12,0.583,3,5,8,1,0,3,1,4,35,29.1
1,1,34.78,6,12,0.5,0,0,,11,18,0.611,4,8,12,4,0,0,3,4,23,17.6
0,0,37.35,7,11,0.636,0,0,,5,7,0.714,3,3,6,2,0,1,3,3,19,14.2
1,1,33.05,7,14,0.5,0,0,,5,8,0.625,5,4,9,3,0,1,2,5,19,14.3
1,0,37.55,7,15,0.467,0,0,,9,16,0.563,2,10,12,2,1,4,1,3,23,19.9
0,1,31.50,10,12,0.833,0,0,,8,12,0.667,3,9,12,2,0,2,3,2,28,25.8
0,1,38.57,8,13,0.615,0,0,,8,10,0.8,3,10,13,1,1,3,4,3,24,21
1,1,36.35,6,13,0.462,0,0,,5,8,0.625,1,8,9,1,1,2,2,4,17,11.7
1,1,26.73,9,15,0.6,0,0,,7,7,1,2,8,10,0,0,2,2,2,25,20.5
0,1,37.62,5,11,0.455,0,0,,5,5,1,2,8,10,2,1,2,0,3,15,15.7
1,1,39.88,10,17,0.588,0,0,,6,11,0.545,2,8,10,2,0,3,1,3,26,21.2
1,0,32.22,9,13,0.692,0,0,,4,7,0.571,2,9,11,4,1,0,1,5,22,20.2
0,1,24.73,6,9,0.667,0,0,,4,4,1,2,2,4,2,0,1,5,6,16,8.8
0,0,30.27,8,13,0.615,0,0,,0,0,,1,10,11,2,0,2,3,2,16,12.8
0,0,37.92,8,16,0.5,0,0,,5,13,0.385,1,11,12,1,0,3,4,4,21,11
0,0,30.15,6,10,0.6,0,0,,8,12,0.667,0,7,7,0,1,1,2,3,20,14.4
0,1,38.83,7,9,0.778,0,0,,5,8,0.625,0,11,11,1,1,1,4,5,19,14
0,1,36.95,10,14,0.714,0,0,,9,10,0.9,2,6,8,2,1,3,3,3,29,26.3
1,0,34.63,5,14,0.357,0,0,,3,5,0.6,2,4,6,0,0,1,3,5,13,2.7
1,0,35.02,6,11,0.545,0,0,,6,9,0.667,2,6,8,2,0,2,3,6,18,12.1
1,1,22.97,4,7,0.571,0,0,,2,6,0.333,4,5,9,3,0,2,3,1,10,9.5
0,0,27.93,8,9,0.889,0,0,,1,2,0.5,3,9,12,1,0,1,0,3,17,18.5
1,1,26.48,4,11,0.364,0,0,,4,8,0.5,4,3,7,1,1,0,3,6,12,4.3
0,1,33.37,7,16,0.438,0,0,,6,8,0.75,5,5,10,0,0,1,2,3,20,13.3
0,0,21.03,3,7,0.429,0,0,,1,4,0.25,4,6,10,1,1,0,3,2,7,4.6
0,0,33.83,5,7,0.714,0,0,,1,1,1,1,5,6,1,1,2,4,2,11,8.6
1,1,21.22,6,6,1,0,0,,3,3,1,0,8,8,1,0,0,3,2,15,12.5
0,1,25.83,8,10,0.8,0,0,,0,0,,1,5,6,3,0,2,2,3,16,14.7
1,1,30.60,9,14,0.643,0,0,,4,7,0.571,5,4,9,2,0,1,0,1,22,21
1,0,27.33,7,11,0.636,0,0,,3,6,0.5,0,6,6,0,0,2,2,5,17,10.1
1,1,30.03,7,12,0.583,0,0,,6,7,0.857,1,10,11,2,0,3,3,3,20,17
0,0,21.27,3,7,0.429,0,0,,6,7,0.857,2,5,7,0,0,2,2,2,12,9.4
1,1,35.13,20,25,0.8,0,0,,5,8,0.625,3,8,11,2,3,1,3,4,45,39.3
1,1,35.22,13,18,0.722,0,0,,7,12,0.583,2,5,7,3,0,0,6,6,33,20.2
0,0,35.40,9,13,0.692,0,0,,1,3,0.333,6,5,11,0,3,2,4,4,19,17.2
0,0,30.05,8,13,0.615,0,0,,6,9,0.667,4,4,8,1,2,2,1,6,22,19.6
0,0,36.50,8,12,0.667,0,0,,1,2,0.5,3,2,5,2,1,2,3,4,17,13.3
0,0,30.82,6,16,0.375,0,0,,2,4,0.5,3,2,5,0,1,0,0,4,14,6.5
